node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,dist_from_mean_coordinate,n_modes,n_routes
531,3,bus+trolley,3.0,0.0,4562.0,1.0,610.0,1,1,5,3+ branch,1 all neighbours foreign,494.052978515625,0.2088777869939804,2.0,8.0
532,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,4,1 tip,1 all neighbours foreign,48.53641891479492,0.207625150680542,1.0,1.0
533,2,bus+tram+trolley,2.0,0.0,4562.0,0.5,88.0,1,1,4,2 path,mixed,336.21710205078125,0.1493605375289917,3.0,8.0
534,3,bus+trolley,2.0,0.0,4562.0,1.0,610.0,1,1,3,2 path,1 all neighbours foreign,347.4510498046875,0.06174980476498604,2.0,5.0
535,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,4,1 tip,1 all neighbours foreign,48.53641891479492,0.22630101442337036,1.0,1.0
536,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,112.0246810913086,0.15243719518184662,2.0,2.0
537,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,4,1 tip,1 all neighbours foreign,53.193878173828125,0.06412574648857117,1.0,1.0
538,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,3,2 path,mixed,347.4510498046875,0.06846393644809723,2.0,5.0
539,2,bus+tram+trolley,3.0,0.6666666865348816,4562.0,0.3333333333333333,88.0,1,1,4,3+ branch,mixed,252.62704467773438,0.17034520208835602,3.0,6.0
540,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,3,1 tip,0 no foreign neighbour,257.82513427734375,0.08411026746034622,2.0,4.0
541,5,tram+trolley,2.0,0.0,4562.0,1.0,21.0,1,1,4,2 path,1 all neighbours foreign,194.33338928222656,0.1873319447040558,2.0,5.0
542,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,4,2 path,0 no foreign neighbour,261.0394287109375,0.25965970754623413,1.0,6.0
543,3,bus+trolley,4.0,0.1666666716337204,4562.0,1.0,610.0,1,1,3,3+ branch,1 all neighbours foreign,226.85789489746094,0.1936299204826355,2.0,5.0
