route,n_stops,cohesion,null_cohesion,span
bus:463А,50,0.88,0.324,0.5499181747436523
bus:469,18,0.4444444444444444,0.3655555555555555,0.7948818802833557
bus:475,45,0.5333333333333333,0.3502222222222222,0.7257400155067444
bus:476,36,0.6666666666666666,0.33888888888888885,0.2783278822898865
bus:477,12,0.6666666666666666,0.3949999999999999,0.039967942982912064
bus:48,15,0.9333333333333333,0.384,0.030726755037903786
bus:481,50,0.72,0.3468,0.45824679732322693
bus:482,59,0.8135593220338984,0.3240677966101695,0.8409273624420166
bus:482В,56,0.8571428571428571,0.3371428571428571,0.7950201630592346
bus:483,35,0.6285714285714286,0.33199999999999996,0.5518123507499695
bus:483А,34,0.6176470588235294,0.35764705882352943,0.5518123507499695
bus:484,55,0.6727272727272727,0.3250909090909091,0.49058035016059875
bus:485,23,0.391304347826087,0.3739130434782609,0.2359192967414856
bus:487,57,0.6666666666666666,0.34,1.1890541315078735
bus:489,40,0.825,0.352,0.3344116508960724
bus:49,37,0.7297297297297297,0.34216216216216216,0.12563394010066986
bus:493,17,0.35294117647058826,0.3541176470588235,0.11573050171136856
bus:497,22,0.8636363636363636,0.34454545454545454,0.1132977232336998
bus:4Л,17,0.5294117647058824,0.37529411764705883,0.056029532104730606
bus:5,46,0.43478260869565216,0.3278260869565217,0.10365940630435944
bus:50,60,0.5166666666666667,0.33399999999999996,0.16207042336463928
bus:52,21,0.47619047619047616,0.35523809523809513,0.07309795171022415
bus:53,41,0.7804878048780488,0.3541463414634146,0.14033621549606323
bus:54,52,0.5769230769230769,0.32076923076923075,0.14289455115795135
bus:540,36,0.5,0.3483333333333333,0.2414899319410324
bus:544,17,0.5882352941176471,0.3752941176470588,0.0786748081445694
bus:545,44,0.5,0.3377272727272727,0.12199284881353378
bus:547,25,0.68,0.3488,0.2593708634376526
bus:55,9,0.4444444444444444,0.4066666666666666,0.020022984594106674
bus:552,15,0.6666666666666666,0.364,0.11510327458381653
bus:552А,16,0.6875,0.3675,0.11510327458381653
bus:555,37,0.43243243243243246,0.34,0.36767202615737915
bus:56,40,0.475,0.34099999999999997,0.14957857131958008
bus:567,43,0.37209302325581395,0.34883720930232565,0.261165976524353
bus:57,35,0.9142857142857143,0.3257142857142858,0.11674720793962479
bus:58,20,0.55,0.365,0.05848577991127968
bus:59,43,0.5813953488372093,0.3344186046511628,0.10330638289451599
bus:6,46,0.717391304347826,0.3486956521739131,0.08632627129554749
bus:60,53,0.4716981132075472,0.3343396226415094,0.11152733117341995
bus:61,23,0.34782608695652173,0.35826086956521735,0.1022273451089859
bus:62,41,0.5609756097560976,0.3414634146341463,0.06489932537078857
bus:63,35,0.7142857142857143,0.3485714285714285,0.08901569247245789
bus:64,41,0.4634146341463415,0.34390243902439027,0.09743395447731018
bus:65,31,0.4838709677419355,0.35161290322580646,0.14569884538650513
bus:66,41,0.7560975609756098,0.3390243902439024,0.07633886486291885
bus:67,18,0.8888888888888888,0.3677777777777777,0.08409112691879272
bus:68,42,0.4523809523809524,0.3338095238095238,0.15302155911922455
bus:682,27,0.8148148148148148,0.3451851851851852,0.3593103587627411
bus:683,28,0.75,0.3557142857142857,0.38626736402511597
bus:683А,17,0.8235294117647058,0.37294117647058816,0.34083715081214905
bus:684,37,0.8648648648648649,0.32594594594594595,0.5699966549873352
bus:685А,37,0.8108108108108109,0.3648648648648649,0.6830112934112549
bus:686,35,0.8857142857142857,0.3314285714285714,0.522299587726593
bus:68А,42,0.4523809523809524,0.34476190476190466,0.1672002226114273
bus:69,25,0.64,0.3464,0.056575044989585876
bus:7,56,0.5714285714285714,0.34071428571428586,0.1478423774242401
bus:70,38,0.8947368421052632,0.35,0.10668681561946869
bus:71,35,0.9428571428571428,0.3462857142857142,0.107096828520298
bus:72,45,0.6,0.3506666666666666,0.13128405809402466
bus:73,30,0.4666666666666667,0.3586666666666667,0.06891749054193497
bus:74,59,0.576271186440678,0.33593220338983054,0.14046578109264374
bus:75,35,0.7714285714285715,0.3439999999999999,0.19761952757835388
bus:76,69,0.4927536231884058,0.3307246376811594,0.18968582153320312
bus:77,20,0.5,0.39100000000000007,0.07124152779579163
bus:78,25,0.48,0.3696000000000001,0.07863755524158478
bus:79,38,0.6842105263157895,0.3589473684210526,0.10527904331684113
bus:7Л,17,0.5294117647058824,0.36823529411764705,0.03237375244498253
bus:8,41,0.7560975609756098,0.33560975609756105,0.12689213454723358
bus:80,53,0.4716981132075472,0.33471698113207543,0.13858041167259216
bus:81,41,0.5365853658536586,0.34048780487804875,0.18363727629184723
bus:83,29,0.7586206896551724,0.36344827586206896,0.10567650198936462
bus:830,14,0.7857142857142857,0.39428571428571424,1.7497124671936035
bus:84,22,0.5454545454545454,0.37363636363636366,0.11543416976928711
bus:842,9,0.7777777777777778,0.43111111111111117,2.2058799266815186
bus:85,49,0.5306122448979592,0.3408163265306123,0.11868607997894287
bus:86,37,0.35135135135135137,0.33891891891891895,0.11253374814987183
bus:87,36,0.5555555555555556,0.3455555555555555,0.1171344593167305
bus:88,18,0.5,0.36333333333333334,0.06639951467514038
bus:89,16,0.5625,0.37625,0.07500533014535904
bus:9,35,0.6571428571428571,0.33485714285714274,0.11336155235767365
bus:90,20,0.7,0.39000000000000007,0.10314703732728958
bus:91,25,0.88,0.352,0.06373143941164017
bus:92,24,0.5,0.3575,0.06985035538673401
