node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,length,gc,n_sample_colors
683,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,88.0,0.29545454545454547,2.0
684,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,101.0,0.39603960396039606,2.0
685,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.9051,411.0,0.3819951338199513,2.0
686,5,T7,2.0,0.0,394.0,1.0,163.0,1,1,3,2 path,1 all neighbours foreign,7.2832,134.0,0.4626865671641791,0.0
687,2,T3,4.0,0.0,394.0,0.5,156.0,1,1,1,3+ branch,mixed,11.9346,327.0,0.5076452599388379,1.0
688,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.3168,343.0,0.37900874635568516,1.0
689,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,22.5,23.0,0.5217391304347826,2.0
690,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.4,301.0,0.30564784053156147,2.0
691,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.0837,260.0,0.39615384615384613,1.0
692,2,T3,3.0,0.0,394.0,0.3333333333333333,156.0,1,1,1,3+ branch,mixed,8.4459,243.0,0.48559670781893005,1.0
693,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.4762,126.0,0.4603174603174603,1.0
694,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.0564,340.0,0.3558823529411765,2.0
695,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.0787,364.0,0.4175824175824176,1.0
696,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,4.6869,120.0,0.43333333333333335,0.0
697,2,T3,4.0,0.0,394.0,0.5,156.0,1,1,1,3+ branch,mixed,17.3693,197.0,0.5228426395939086,1.0
698,3,T4,3.0,0.0,14.0,0.0,389.0,1,1,3,3+ branch,0 no foreign neighbour,6.0,27.0,0.2962962962962963,1.0
699,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.3865,272.0,0.3639705882352941,2.0
700,5,T7,2.0,0.0,394.0,0.0,163.0,1,0,3,2 path,0 no foreign neighbour,12.4,61.0,0.4918032786885246,1.0
701,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,6.425,61.0,0.5081967213114754,1.0
702,5,T7,2.0,0.0,394.0,0.5,163.0,1,0,3,2 path,mixed,9.4844,85.0,0.4588235294117647,1.0
703,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,12.6875,85.0,0.49411764705882355,1.0
